verb,zipf
be,7.551
have,7.0
do,6.651
get,6.519
can,6.46
will,6.459
like,6.43
make,6.426
go,6.41
up,6.394
out,6.382
say,6.369
time,6.369
see,6.292
know,6.264
think,6.261
people,6.255
take,6.247
use,6.217
want,6.186
work,6.186
come,6.146
look,6.139
need,6.123
give,6.078
find,6.067
back,6.06
well,6.037
right,6.028
even,6.021
state,6.001
call,5.947
play,5.945
show,5.943
off,5.933
love,5.922
still,5.921
tell,5.919
game,5.915
feel,5.912
leave,5.899
start,5.899
try,5.898
mean,5.889
down,5.888
live,5.881
last,5.879
help,5.877
part,5.86
place,5.849
home,5.843
best,5.841
include,5.84
keep,5.828
end,5.824
man,5.823
change,5.815
long,5.814
own,5.8
school,5.8
house,5.799
run,5.794
follow,5.78
name,5.767
thank,5.762
better,5.761
team,5.754
put,5.751
point,5.749
company,5.74
win,5.739
talk,5.733
ask,5.731
become,5.719
found,5.717
number,5.717
service,5.714
group,5.708
guy,5.706
fuck,5.704
read,5.701
second,5.7
set,5.696
please,5.692
open,5.687
lot,5.684
write,5.681
meet,5.675
move,5.672
case,5.67
happen,5.67
let,5.667
support,5.667
pay,5.66
base,5.656
lose,5.652
hold,5.65
turn,5.644
head,5.64
free,5.639
hand,5.638
lead,5.635
post,5.635
build,5.634
book,5.632
hear,5.632
order,5.632
bring,5.626
report,5.626
believe,5.624
line,5.621
care,5.62
job,5.614
power,5.603
party,5.591
kill,5.587
question,5.587
issue,5.585
face,5.584
top,5.584
interest,5.583
break,5.581
side,5.581
cause,5.576
watch,5.576
result,5.574
hope,5.563
word,5.563
water,5.562
seem,5.56
wait,5.559
provide,5.558
stop,5.552
buy,5.55
level,5.549
understand,5.546
begin,5.545
force,5.543
full,5.541
close,5.539
miss,5.539
season,5.532
add,5.53
white,5.527
study,5.525
act,5.517
send,5.517
war,5.515
form,5.508
record,5.504
fall,5.503
hit,5.488
learn,5.488
reason,5.486
shit,5.486
unite,5.486
course,5.484
black,5.483
body,5.482
continue,5.482
deal,5.482
stay,5.479
die,5.478
market,5.478
mind,5.478
term,5.478
fight,5.477
general,5.477
train,5.475
plan,5.474
allow,5.473
matter,5.471
light,5.469
return,5.465
drive,5.464
share,5.464
shoot,5.461
kid,5.46
stand,5.46
court,5.459
