verb,zipf
parar,6.925
comer,6.746
estar,6.711
tener,6.637
haber,6.6
hacer,6.564
poder,6.522
decir,6.302
partir,6.233
querer,6.208
erar,6.147
saber,6.117
casar,6.087
nadar,6.026
trabajar,6.014
unir,6.008
deber,6.006
creer,6.003
contar,5.953
crear,5.944
formar,5.914
hablar,5.905
seguir,5.87
parecer,5.823
dejar,5.81
poner,5.805
usar,5.793
sentir,5.791
encontrar,5.789
bajar,5.779
vivir,5.772
llegar,5.771
mediar,5.763
esperar,5.754
pensar,5.75
cambiar,5.723
historiar,5.722
llevar,5.706
tomar,5.701
gustar,5.698
conocer,5.697
juntar,5.694
jugar,5.686
salir,5.685
llamar,5.681
necesitar,5.68
tratar,5.662
incluir,5.659
acordar,5.655
quedar,5.651
ademar,5.649
buscar,5.628
venir,5.625
preguntar,5.616
ayudar,5.608
ganar,5.596
idear,5.589
volver,5.585
entender,5.578
aguar,5.557
desarrollar,5.553
poblar,5.553
faltar,5.523
leer,5.512
obrar,5.506
programar,5.505
vestir,5.502
pedir,5.499
amigar,5.499
equipar,5.498
existir,5.495
mirar,5.489
forzar,5.488
embargar,5.482
recordar,5.479
centrar,5.476
largar,5.473
listar,5.471
pesar,5.456
perder,5.455
apoyar,5.455
pagar,5.452
escribir,5.451
probar,5.445
estudiar,5.439
escolar,5.433
caminar,5.427
empezar,5.425
sentar,5.408
proyectar,5.405
suponer,5.402
comprar,5.398
entrar,5.396
mostrar,5.396
cargar,5.393
manar,5.386
librar,5.385
cercar,5.383
morir,5.381
recibir,5.37
acabar,5.37
presentar,5.364
procesar,5.351
intentar,5.35
hermanar,5.35
conseguir,5.346
terminar,5.346
escuchar,5.345
luchar,5.343
dudar,5.343
causar,5.341
considerar,5.334
veer,5.333
marcar,5.332
vivar,5.326
realizar,5.323
importar,5.316
significar,5.313
mantener,5.311
permitir,5.31
notar,5.31
armar,5.305
utilizar,5.304
comenzar,5.296
sacar,5.287
abrir,5.285
sitiar,5.284
respectar,5.283
mayar,5.277
publicar,5.258
soler,5.258
aumentar,5.254
salvar,5.242
desear,5.242
amar,5.241
completar,5.236
lograr,5.235
valer,5.232
visitar,5.231
diferenciar,5.231
contener,5.229
votar,5.223
llenar,5.223
justiciar,5.21
fechar,5.209
penar,5.206
matar,5.205
mandar,5.205
restar,5.202
ofrecer,5.201
aparecer,5.199
aprender,5.194
cortar,5.186
reinar,5.185
campar,5.184
caer,5.183
durar,5.173
acercar,5.171
preciar,5.17
servir,5.169
mercar,5.165
cumplir,5.161
evitar,5.16
justar,5.159
respetar,5.151
tocar,5.148
producir,5.146
andar,5.144
espaciar,5.141
explicar,5.14
iniciar,5.14
compartir,5.138
bancar,5.134
mejorar,5.129
subir,5.128
objetivar,5.124
cuidar,5.123
dormir,5.12
participar,5.12
obtener,5.116
ocurrir,5.116
odiar,5.116
funcionar,5.114
representar,5.105
convertir,5.102
principiar,5.102
encimar,5.101
aceptar,5.1
orar,5.1
decidir,5.098
tirar,5.095
regresar,5.093
culpar,5.093
enviar,5.087
arribar,5.087
extrañar,5.086
vender,5.084
emplear,5.083
plantar,5.083
militar,5.081
marchar,5.081
parir,5.081
esposar,5.081
demostrar,5.078
firmar,5.073
reconocer,5.07
cerrar,5.069
estilar,5.069
reformar,5.068
traer,5.065
responder,5.064
olvidar,5.063
correr,5.062
establecer,5.06
solar,5.056
soñar,5.054
noviar,5.054
citar,5.051
encantar,5.051
modelar,5.046
registrar,5.044
vengar,5.044
salar,5.037
negociar,5.036
continuar,5.035
elegir,5.033
alcanzar,5.032
radiar,5.031
sufrir,5.027
robar,5.025
entregar,5.022
jamar,5.02
referir,5.015
destinar,5.014
contratar,5.013
figurar,5.008
construir,5.007
generar,5.005
presenciar,5.004
echar,5.001
descubrir,5.001
debatir,4.997
premiar,4.996
revistar,4.996
diseñar,4.995
defender,4.991
celebrar,4.988
preparar,4.985
romper,4.983
merecer,4.983
abajar,4.98
entrevistar,4.979
estrellar,4.978
depender,4.977
apenar,4.977
dañar,4.975
enterar,4.975
crecer,4.972
cantar,4.972
cursar,4.971
estructurar,4.97
lindar,4.97
indicar,4.968
dirigir,4.966
ocupar,4.962
esperanzar,4.962
demandar,4.96
motivar,4.96
asegurar,4.959
prensar,4.958
contactar,4.956
reglar,4.955
sumar,4.954
destacar,4.952
quitar,4.951
actuar,4.949
meter,4.948
activar,4.948
copar,4.947
denunciar,4.946
papar,4.946
pelear,4.944
distanciar,4.943
disfrutar,4.942
imaginar,4.941
preferir,4.941
volar,4.94
afectar,4.94
manejar,4.938
consumir,4.932
interesar,4.928
sonar,4.927
esforzar,4.926
costar,4.923
mencionar,4.922
reducir,4.919
señalar,4.915
silenciar,4.911
viajar,4.91
titular,4.907
salgar,4.906
limpiar,4.904
aplicar,4.902
cocinar,4.898
dedicar,4.896
comerciar,4.896
batallar,4.895
finir,4.894
proponer,4.891
pisar,4.889
organizar,4.888
lanzar,4.888
anunciar,4.888
fijar,4.887
falsar,4.88
drogar,4.879
imponer,4.878
cubrir,4.877
pelar,4.876
amenazar,4.875
sujetar,4.873
minar,4.872
abandonar,4.871
disponer,4.871
levantar,4.87
resolver,4.867
fallar,4.867
beber,4.865
pertenecer,4.865
invitar,4.865
controlar,4.863
reservar,4.858
declarar,4.857
aforar,4.854
llorar,4.851
informar,4.851
observar,4.85
expresar,4.85
bañar,4.85
joder,4.848
influenciar,4.848
proteger,4.847
enseñar,4.847
despertar,4.847
molestar,4.844
positivar,4.842
regalar,4.841
requerir,4.841
mover,4.836
novelar,4.836
gastar,4.835
detener,4.834
guardar,4.834
exigir,4.833
peligrar,4.832
combatir,4.831
corregir,4.83
consultar,4.829
gritar,4.828
saltar,4.828
secretar,4.828
fotografiar,4.825
ingresar,4.822
ligar,4.822
asesinar,4.82
conferenciar,4.819
afirmar,4.818
superar,4.816
jurar,4.815
desaparecer,4.812
repetir,4.812
determinar,4.81
documentar,4.81
retirar,4.809
girar,4.808
protestar,4.807
preocupar,4.807
consumar,4.804
obligar,4.803
masar,4.803
bastar,4.801
abogar,4.8
ofertar,4.799
copiar,4.797
cuadrar,4.797
atacar,4.796
basar,4.796
definir,4.795
primar,4.795
negar,4.794
acompañar,4.794
tasar,4.793
beneficiar,4.792
presuponer,4.791
concienciar,4.79
extremar,4.79
comprender,4.789
criticar,4.787
privar,4.787
presupuestar,4.786
medicinar,4.786
licenciar,4.783
objetar,4.782
eliminar,4.781
pretender,4.781
confiar,4.779
descansar,4.777
evidenciar,4.777
confirmar,4.776
mezclar,4.774
manifestar,4.774
describir,4.773
resumir,4.772
añadir,4.771
rechazar,4.771
discutir,4.77
provocar,4.77
aprovechar,4.769
cobrar,4.768
aprobar,4.767
recuperar,4.766
recomendar,4.765
agenciar,4.762
sentenciar,4.76
cifrar,4.76
encargar,4.759
pintar,4.757
comentar,4.754
condenar,4.752
quejar,4.75
prestar,4.749
asumir,4.748
escalar,4.745
renunciar,4.743
rodar,4.741
avanzar,4.74
recorrer,4.74
corresponder,4.739
impactar,4.737
promover,4.736
decretar,4.734
arreglar,4.733
guiar,4.732
doler,4.732
identificar,4.731
promediar,4.731
cometer,4.73
poseer,4.729
solicitar,4.727
avisar,4.727
atender,4.725
agregar,4.725
destruir,4.723
bailar,4.722
agradecer,4.721
conducir,4.719
vaciar,4.718
recoger,4.715
reunir,4.715
soldar,4.711
madurar,4.709
cruzar,4.708
nacer,4.708
pegar,4.708
concursar,4.707
enfrentar,4.703
acusar,4.702
coger,4.699
sostener,4.698
apostar,4.698
saludar,4.697
argumentar,4.697
ocultar,4.696
tornar,4.695
investigar,4.693
analizar,4.693
curar,4.693
comunicar,4.693
permanecer,4.692
concretar,4.692
reflejar,4.691
caber,4.688
limar,4.688
revisar,4.687
descargar,4.686
placer,4.685
marinar,4.684
limitar,4.682
juzgar,4.681
constituir,4.681
enfermar,4.681
encuestar,4.68
incrementar,4.676
proporcionar,4.673
prohibir,4.673
cagar,4.672
pasear,4.672
sorprender,4.672
ejercer,4.669
grabar,4.668
contestar,4.667
divertir,4.665
implicar,4.664
regular,4.663
montar,4.663
garantizar,4.662
admitir,4.662
separar,4.662
secar,4.662
escapar,4.659
quemar,4.659
bloquear,4.659
datar,4.659
impulsar,4.658
impedir,4.656
colocar,4.656
comparar,4.656
revelar,4.656
obviar,4.656
lucir,4.655
cenar,4.654
plantear,4.653
relacionar,4.653
archivar,4.653
prometer,4.652
acceder,4.65
triunfar,4.649
mentir,4.648
reclamar,4.647
surgir,4.645
ahorrar,4.644
practicar,4.643
potenciar,4.643
besar,4.642
apuntar,4.641
pescar,4.639
temer,4.638
abrazar,4.638
equivocar,4.636
fracasar,4.634
rodear,4.632
consistir,4.631
contribuir,4.629
adquirir,4.628
concertar,4.628
experimentar,4.627
capar,4.626
dibujar,4.625
derrotar,4.625
operar,4.624
sugerir,4.624
estimar,4.622
conservar,4.621
nombrar,4.621
rentar,4.621
picar,4.62
componer,4.619
alimentar,4.618
castigar,4.617
apreciar,4.615
exponer,4.614
castrar,4.614
disparar,4.613
engañar,4.612
ignorar,4.611
ultimar,4.611
maridar,4.611
capturar,4.608
ubicar,4.608
conectar,4.606
medir,4.605
velar,4.605
charlar,4.603
disculpar,4.6
adoptar,4.599
soltar,4.599
aventurar,4.598
asistir,4.597
extender,4.595
parlamentar,4.593
pechar,4.593
aportar,4.592
fumar,4.591
lavar,4.591
ordenar,4.591
feriar,4.591
diputar,4.591
progresar,4.586
sanar,4.585
coronar,4.585
opinar,4.584
intercambiar,4.583
animar,4.576
hallar,4.573
desconocer,4.572
invertir,4.571
vencer,4.571
planear,4.571
integrar,4.57
facilitar,4.566
hartar,4.565
situar,4.563
conquistar,4.561
agarrar,4.558
relatar,4.558
fomentar,4.557
cazar,4.557
precisar,4.557
alegrar,4.557
complicar,4.555
comprobar,4.554
huir,4.554
pilar,4.553
trasladar,4.552
cultivar,4.551
contentar,4.547
tender,4.546
mangar,4.543
atentar,4.541
otorgar,4.54
brindar,4.539
serrar,4.539
soportar,4.537
transmitir,4.537
palmar,4.535
rotar,4.534
abusar,4.533
elevar,4.531
emitir,4.53
esconder,4.53
sobrevivir,4.527
justificar,4.526
mamar,4.525
excusar,4.525
calmar,4.524
desempeñar,4.524
rondar,4.522
respirar,4.521
violentar,4.521
liberar,4.518
traducir,4.518
rendir,4.516
circular,4.515
insistir,4.515
desayunar,4.515
coincidir,4.514
corear,4.514
sospechar,4.511
entornar,4.511
fundar,4.507
perseguir,4.506
escriturar,4.506
aguantar,4.505
cansar,4.505
etiquetar,4.502
desgraciar,4.502
despedir,4.501
turnar,4.5
atraer,4.499
manchar,4.499
eligir,4.499
instalar,4.495
disminuir,4.495
modificar,4.494
prender,4.494
tornear,4.493
interpretar,4.492
templar,4.491
alertar,4.49
aclarar,4.488
callar,4.487
inventar,4.487
multar,4.486
pastar,4.486
paular,4.486
golpear,4.485
pactar,4.484
herrar,4.484
rayar,4.483
devolver,4.482
transformar,4.482
introducir,4.48
techar,4.478
tramar,4.477
advertir,4.476
variar,4.474
perdonar,4.472
violar,4.471
herir,4.47
cegar,4.47
borrar,4.469
colaborar,4.468
repartir,4.468
escoger,4.467
estrenar,4.466
ensayar,4.463
tardar,4.462
murar,4.462
enamorar,4.459
becar,4.459
competir,4.458
asentar,4.458
secuestrar,4.457
incendiar,4.454
ejecutar,4.453
satisfacer,4.452
disputar,4.452
insultar,4.451
arrancar,4.45
estrechar,4.447
alejar,4.446
podar,4.446
oponer,4.445
tumbar,4.444
dividir,4.443
arrestar,4.443
explotar,4.442
lujar,4.442
tapar,4.44
abortar,4.439
desnudar,4.436
holgar,4.436
balar,4.433
reemplazar,4.432
articular,4.432
denominar,4.432
disciplinar,4.432
atravesar,4.431
elaborar,4.429
convenir,4.428
retar,4.426
convocar,4.425
difundir,4.422
incorporar,4.422
valorar,4.421
pilotar,4.421
solucionar,4.418
dominar,4.417
adecuar,4.416
calcular,4.414
proceder,4.412
confundir,4.411
distinguir,4.41
adelantar,4.41
enojar,4.41
censurar,4.409
colgar,4.408
respaldar,4.408
asociar,4.406
reforzar,4.404
recetar,4.404
maravillar,4.404
lamentar,4.403
bordar,4.4
sincerar,4.399
criar,4.397
caracterizar,4.397
desafiar,4.395
concluir,4.393
asentir,4.393
finar,4.392
conformar,4.391
fabricar,4.389
instrumentar,4.389
sellar,4.388
vacar,4.388
hollar,4.387
finalizar,4.386
legar,4.384
torturar,4.383
ampliar,4.382
intervenir,4.382
derivar,4.382
acudir,4.381
numerar,4.381
morar,4.38
editar,4.379
entrenar,4.378
actualizar,4.377
linear,4.377
sobrar,4.377
constar,4.375
fichar,4.374
refugiar,4.374
apellidar,4.373
frenar,4.368
apartar,4.368
inspirar,4.367
acostumbrar,4.366
hilar,4.364
conceder,4.363
combinar,4.363
alentar,4.363
provenir,4.362
resistir,4.36
apagar,4.36
burlar,4.36
flotar,4.36
machar,4.36
convencer,4.358
sustanciar,4.357
brillar,4.356
aburrir,4.356
gestar,4.356
prevenir,4.355
retrasar,4.354
reglamentar,4.354
favorecer,4.352
pecar,4.351
recurrir,4.35
involucrar,4.35
rezar,4.349
facturar,4.348
paginar,4.348
asaltar,4.346
suministrar,4.343
filtrar,4.342
oler,4.34
abordar,4.338
reportar,4.338
percibir,4.338
encender,4.337
portar,4.335
alzar,4.334
retratar,4.334
financiar,4.333
calificar,4.333
despachar,4.333
dolar,4.332
comprometer,4.329
danzar,4.329
testimoniar,4.326
evaluar,4.325
alarmar,4.323
almorzar,4.32
educar,4.318
presumir,4.318
tallar,4.318
domiciliar,4.318
influir,4.317
cancelar,4.315
carecer,4.315
fortalecer,4.313
prever,4.312
certificar,4.312
acosar,4.311
maldecir,4.31
vacunar,4.306
verificar,4.305
retornar,4.305
imprimir,4.304
contemplar,4.304
orillar,4.304
reseñar,4.303
mudar,4.302
administrar,4.301
chupar,4.3
ceder,4.298
gozar,4.298
censar,4.298
signar,4.298
proveer,4.297
ofender,4.295
cosechar,4.295
designar,4.293
implementar,4.291
aliviar,4.29
detectar,4.289
seleccionar,4.289
hinchar,4.288
explorar,4.287
distribuir,4.285
descontar,4.285
auxiliar,4.284
asustar,4.283
botar,4.283
lastimar,4.282
curvar,4.282
renovar,4.279
tejer,4.278
rabiar,4.278
autorizar,4.275
fallecer,4.275
sustituir,4.273
enterrar,4.272
averiguar,4.27
rever,4.269
entusiasmar,4.268
localizar,4.266
someter,4.266
remediar,4.266
concentrar,4.264
amanecer,4.262
abarcar,4.261
reaccionar,4.255
clasificar,4.255
admirar,4.255
trazar,4.255
pronunciar,4.253
espiar,4.251
confesar,4.25
embarazar,4.25
protocolar,4.25
liderar,4.249
rescatar,4.248
cuestionar,4.247
sembrar,4.247
tragar,4.247
barrer,4.247
privilegiar,4.247
anillar,4.247
ajustar,4.246
reproducir,4.246
atrapar,4.242
vendar,4.241
recompensar,4.239
dorar,4.239
osar,4.238
adorar,4.236
cremar,4.236
vidriar,4.236
anotar,4.235
suspender,4.231
encerrar,4.228
oficiar,4.228
donar,4.225
presionar,4.224
rogar,4.224
cascar,4.224
visar,4.224
conversar,4.223
llover,4.223
atribuir,4.223
envidiar,4.223
custodiar,4.222
asignar,4.219
vincular,4.216
lidiar,4.214
escudar,4.214
acumular,4.213
maniobrar,4.213
reflexionar,4.21
quebrar,4.208
residir,4.208
adaptar,4.207
corromper,4.206
padecer,4.204
habitar,4.203
barbar,4.203
vigilar,4.202
complementar,4.201
resaltar,4.198
arriesgar,4.196
vagar,4.196
duchar,4.195
tintar,4.195
honrar,4.193
arrojar,4.193
alterar,4.191
acelerar,4.19
clavar,4.19
sopar,4.189
despreciar,4.188
rellenar,4.187
expulsar,4.186
exiliar,4.186
osear,4.185
reparar,4.184
extraer,4.182
ascender,4.179
marear,4.178
agradar,4.177
arar,4.177
sortear,4.174
captar,4.173
examinar,4.171
empujar,4.17
arrastrar,4.165
amargar,4.165
aconsejar,4.164
felicitar,4.161
encabezar,4.161
emprender,4.16
manipular,4.16
fincar,4.157
batir,4.156
cesar,4.155
fluir,4.155
trucar,4.154
detallar,4.153
efectuar,4.152
apretar,4.152
enfocar,4.152
atar,4.151
demorar,4.15
navegar,4.149
ilustrar,4.148
calentar,4.147
orquestar,4.147
arruinar,4.146
acertar,4.145
divorciar,4.145
adjuntar,4.144
especificar,4.143
sumir,4.143
comandar,4.14
apropiar,4.14
fingir,4.139
aspirar,4.137
checar,4.137
dictar,4.136
deteriorar,4.136
optar,4.135
saldar,4.135
amparar,4.135
coordinar,4.132
maltratar,4.132
desviar,4.131
invadir,4.13
pillar,4.13
hundir,4.129
estafar,4.128
gestionar,4.127
descartar,4.126
intermediar,4.125
descender,4.122
espinar,4.122
adivinar,4.119
aislar,4.119
alegar,4.119
especializar,4.117
matear,4.117
interrumpir,4.114
granar,4.114
transportar,4.113
enmendar,4.113
asar,4.112
tributar,4.111
divisar,4.111
arañar,4.109
chocar,4.108
fundamentar,4.108
sustentar,4.106
consolidar,4.105
evolucionar,4.104
exagerar,4.104
afrontar,4.103
consolar,4.1
narrar,4.099
plagar,4.098
terciar,4.098
prestigiar,4.097
festejar,4.095
promocionar,4.094
perjudicar,4.094
anular,4.093
arder,4.093
seer,4.093
alquilar,4.088
delegar,4.087
orientar,4.086
pulsar,4.086
envolver,4.085
acoger,4.083
mojar,4.082
mentar,4.079
flechar,4.078
iluminar,4.076
albergar,4.075
estimular,4.074
doblar,4.074
formular,4.074
redactar,4.073
retener,4.072
sacrificar,4.071
encajar,4.071
temblar,4.069
aplaudir,4.069
emocionar,4.068
olivar,4.065
imitar,4.063
alfombrar,4.062
mear,4.059
capitular,4.057
recaudar,4.056
angustiar,4.056
gafar,4.056
chapar,4.055
lucrar,4.054
obedecer,4.053
saquear,4.053
bombardear,4.053
presidir,4.05
versar,4.05
escobar,4.049
socorrer,4.047
regar,4.045
ejercitar,4.044
viciar,4.044
preservar,4.042
varar,4.04
depositar,4.039
aliar,4.039
compensar,4.038
transferir,4.038
procurar,4.036
ahogar,4.036
proclamar,4.034
clausurar,4.034
derribar,4.033
vallar,4.033
filmar,4.031
patrullar,4.031
serenar,4.03
regir,4.029
desperdiciar,4.028
maquinar,4.028
empeorar,4.027
inscribir,4.027
inaugurar,4.027
recrear,4.026
decepcionar,4.023
retomar,4.021
pautar,4.021
liar,4.02
forrar,4.02
tolerar,4.019
asilar,4.019
impresionar,4.018
planchar,4.017
expandir,4.016
acostar,4.016
dotar,4.014
latir,4.012
destrozar,4.011
hipotecar,4.01
estallar,4.009
rastrear,4.009
incentivar,4.009
multiplicar,4.009
anexar,4.009
segmentar,4.008
restaurar,4.007
morder,4.006
conllevar,4.006
exhibir,4.005
excluir,4.002
restringir,4.0
radicar,4.0
pausar,4.0
concebir,3.999
empeñar,3.999
enfadar,3.998
juramentar,3.994
abrigar,3.993
desesperar,3.99
conmemorar,3.989
entretener,3.989
remontar,3.989
sedar,3.989
chingar,3.988
anticipar,3.986
descuidar,3.986
desplazar,3.985
moderar,3.985
reconstruir,3.984
consignar,3.984
exportar,3.983
repasar,3.983
ocasionar,3.983
rebajar,3.983
facer,3.981
sancionar,3.978
gallar,3.978
decorar,3.977
aproximar,3.976
acreditar,3.975
subastar,3.975
abonar,3.974
fracturar,3.973
subsidiar,3.972
boxear,3.972
traicionar,3.971
almacenar,3.97
indignar,3.97
propiciar,3.969
calvar,3.969
reprimir,3.968
apelar,3.968
trabar,3.968
comisionar,3.968
reclutar,3.967
bendecir,3.967
alternar,3.967
fundir,3.966
cementar,3.966
pitar,3.964
relajar,3.963
originar,3.963
orinar,3.96
asombrar,3.958
diferir,3.957
tejar,3.952
apodar,3.95
florar,3.949
traspasar,3.947
fragmentar,3.945
igualar,3.944
dialogar,3.943
postular,3.943
aludir,3.943
ajar,3.943
convivir,3.942
absorber,3.942
acomodar,3.942
equivaler,3.942
apurar,3.939
validar,3.938
alfar,3.938
complacer,3.937
trastornar,3.936
inclinar,3.935
escoltar,3.935
plasmar,3.934
prolongar,3.931
subrayar,3.931
cejar,3.931
calzar,3.93
generalizar,3.927
reposar,3.927
colmar,3.927
parodiar,3.925
desplegar,3.924
calar,3.924
tirotear,3.924
retroceder,3.923
adornar,3.923
aponer,3.923
predecir,3.921
planificar,3.92
configurar,3.917
agitar,3.917
transcurrir,3.917
televisar,3.916
profundizar,3.915
apetecer,3.914
conciliar,3.911
despejar,3.908
medicar,3.907
enriquecer,3.901
impartir,3.9
habilitar,3.9
debilitar,3.9
congelar,3.898
ratificar,3.898
recargar,3.898
remover,3.896
deducir,3.896
tensar,3.896
revivir,3.895
vomitar,3.895
remitir,3.895
suspirar,3.895
trozar,3.895
apasionar,3.894
acondicionar,3.893
anhelar,3.891
disolver,3.888
alojar,3.888
alabar,3.885
hervir,3.884
lazar,3.884
sangrar,3.883
graduar,3.881
detestar,3.881
contraer,3.88
encarcelar,3.88
atropellar,3.88
intrigar,3.88
amnistiar,3.88
reventar,3.879
soplar,3.878
distraer,3.876
enlazar,3.873
chivar,3.871
consentir,3.87
suscribir,3.87
disgustar,3.87
heredar,3.869
instar,3.869
agrupar,3.867
hurtar,3.867
imputar,3.866
recortar,3.865
abundar,3.865
solver,3.865
insertar,3.864
rajar,3.864
penetrar,3.863
topar,3.863
movilizar,3.862
disfrazar,3.862
emigrar,3.861
asesorar,3.861
sudar,3.86
dificultar,3.857
vetar,3.857
tarar,3.857
duplicar,3.856
turbar,3.854
deshacer,3.853
forjar,3.853
nominar,3.853
sobrepasar,3.852
rozar,3.852
cooperar,3.85
liquidar,3.848
reiterar,3.847
concordar,3.847
recopilar,3.846
aterrizar,3.845
patear,3.841
predicar,3.841
coser,3.839
peinar,3.839
avergonzar,3.839
molar,3.838
recontar,3.837
atrasar,3.836
mazar,3.836
contradecir,3.834
minimizar,3.833
extractar,3.833
inducir,3.832
capacitar,3.832
desprender,3.831
piar,3.83
posar,3.829
fresar,3.829
supervisar,3.827
aficionar,3.827
transitar,3.826
desalojar,3.826
derramar,3.826
exceder,3.826
disimular,3.825
restablecer,3.824
contagiar,3.823
reivindicar,3.822
podrir,3.821
ingeniar,3.821
dispersar,3.82
repudiar,3.817
martillar,3.817
suprimir,3.816
parcelar,3.816
equilibrar,3.813
sacudir,3.813
bautizar,3.811
follar,3.81
novar,3.81
remar,3.809
inundar,3.809
espumar,3.809
simular,3.808
invocar,3.808
contrastar,3.808
desconectar,3.807
cocer,3.806
infartar,3.805
persistir,3.802
implantar,3.801
bromear,3.801
ladrillar,3.801
reponer,3.799
culminar,3.798
omitir,3.797
enganchar,3.797
elogiar,3.796
ferrar,3.795
platicar,3.794
desatar,3.794
paralizar,3.793
contaminar,3.792
catalogar,3.787
volcar,3.787
ostentar,3.787
pinchar,3.786
revolver,3.785
resucitar,3.783
desembarcar,3.783
colar,3.782
cavar,3.781
incomodar,3.781
ofrendar,3.781
deprimir,3.78
aplastar,3.779
asediar,3.779
unificar,3.777
refrescar,3.774
especular,3.772
emerger,3.772
simplificar,3.771
protagonizar,3.771
relevar,3.77
recolectar,3.769
teñir,3.769
interferir,3.767
estirar,3.767
inquietar,3.767
verter,3.766
desactivar,3.765
prosperar,3.765
legitimar,3.764
suplicar,3.764
florecer,3.761
insinuar,3.761
improvisar,3.76
envejecer,3.759
derrocar,3.757
encomendar,3.757
aparentar,3.756
reafirmar,3.756
humillar,3.755
currar,3.755
ayunar,3.755
rimar,3.755
simbolizar,3.754
agredir,3.753
predominar,3.752
revertir,3.75
esquivar,3.75
encarar,3.749
alargar,3.747
recaer,3.746
halar,3.746
tentar,3.745
fastidiar,3.745
calumniar,3.745
despegar,3.743
escupir,3.743
agravar,3.743
acuñar,3.743
voltear,3.742
chequear,3.742
consagrar,3.742
asir,3.742
rasgar,3.742
vitar,3.742
evadir,3.741
apoderar,3.74
fiar,3.739
cachar,3.739
contrarrestar,3.738
accionar,3.738
atardecer,3.737
constatar,3.737
espantar,3.737
compactar,3.737
encubrir,3.736
meditar,3.735
yacer,3.734
diligenciar,3.732
estacionar,3.731
discriminar,3.73
replicar,3.73
dimitir,3.727
adherir,3.727
notificar,3.726
vibrar,3.725
pulir,3.725
sobornar,3.725
seducir,3.724
desbloquear,3.724
incitar,3.724
resguardar,3.724
estampar,3.723
asimilar,3.722
prevalecer,3.721
sobresalir,3.72
revocar,3.719
cautivar,3.719
pinzar,3.719
reciclar,3.718
celar,3.718
tropezar,3.717
visualizar,3.716
cotizar,3.716
erradicar,3.714
enfatizar,3.714
catar,3.714
tapiar,3.714
blanquear,3.713
arrebatar,3.712
asfaltar,3.712
hachar,3.712
propagar,3.71
avalar,3.71
desechar,3.709
asomar,3.709
desconfiar,3.705
evocar,3.705
desmentir,3.702
enumerar,3.702
tachar,3.702
sondar,3.702
incidir,3.701
reactivar,3.698
concurrir,3.697
diagnosticar,3.697
oscilar,3.697
fatigar,3.695
evacuar,3.694
talar,3.694
legalizar,3.693
patrocinar,3.693
plebiscitar,3.693
interrogar,3.692
manufacturar,3.692
proseguir,3.69
condicionar,3.69
propinar,3.688
arrasar,3.687
jubilar,3.686
esponjar,3.686
infectar,3.684
rematar,3.683
trascender,3.683
alumbrar,3.683
denotar,3.681
nublar,3.68
acariciar,3.678
afiliar,3.678
divulgar,3.677
posicionar,3.677
cepillar,3.676
fascinar,3.676
eludir,3.674
razonar,3.674
encarnar,3.674
lesionar,3.672
barajar,3.671
rolar,3.671
enmarcar,3.67
mendigar,3.669
guisar,3.669
