arm,model,form_pct,lt_pct,len_pct,G,N,S,corr_mv_pct,absent_pct,n_judge
inject,base,63.71,51.34,96.68,3.11,2.74,3.37,17.74,22.4,1116
inject,loraA,95.61,99.91,95.34,4.82,4.35,4.62,94.0,3.05,1116
inject,loraB,85.3,99.28,94.18,4.65,4.21,4.57,84.41,6.99,1116
vanilla,base,5.38,94.53,94.98,4.16,4.06,4.34,4.93,74.19,1116
vanilla,loraA,43.28,96.77,87.1,4.54,4.27,4.55,41.58,37.1,1116
vanilla,loraB,77.51,99.28,95.97,4.52,4.14,4.54,77.42,11.56,1116
soft,base,57.53,73.84,50.09,2.48,2.31,2.53,18.1,22.67,1116
soft,loraA,87.99,96.15,58.42,3.99,2.9,3.2,50.45,4.12,1116
soft,loraB,96.24,96.06,75.27,3.62,3.02,3.3,63.89,1.08,1116
soft_inject,base,98.66,70.52,30.47,2.05,1.39,1.64,16.31,0.27,1116
soft_inject,loraA,98.84,97.85,77.96,3.71,3.12,3.45,70.25,0.27,1116
soft_inject,loraB,98.21,96.95,73.21,3.34,2.74,3.04,59.68,0.63,1116
neuro,base,57.53,94.44,94.53,4.38,3.98,4.31,44.18,33.69,1116
neuro,loraA,89.07,98.84,90.05,4.78,4.14,4.45,78.32,6.81,1116
neuro,loraB,96.68,99.91,98.12,4.82,4.33,4.65,93.64,1.61,1116
neuro_inject,base,99.01,99.64,48.21,4.5,2.53,2.96,42.56,0.81,1116
neuro_inject,loraA,99.1,100.0,98.48,4.83,4.33,4.65,95.61,0.45,1116
neuro_inject,loraB,99.46,99.91,97.49,4.85,4.34,4.67,95.79,0.09,1116
