lemma,enlemma,verbnoun,tier,freq_rank,zipf,raw,per_million,rank,pres6,past6,imperf6,fut_persons,n_eurfa_rows,passes_coverage
cael,get,cael,high,1,6.779,64101,6012.62,15,True,True,True,,54,True
mynd,go,mynd,high,2,6.571,39718,3725.52,23,True,True,True,,62,True
dod,come,dod,high,3,6.487,32755,3072.39,30,True,True,True,3s,80,True
gweld,see,gweld,high,4,6.391,26230,2460.35,42,True,True,True,3s,57,True
dweud,say,deud,high,5,6.363,24611,2308.49,46,True,True,True,3s,70,True
gallu,be_able,gallu,high,6,6.355,24167,2266.84,47,True,True,True,3s,60,True
rhoi,give,rhoi,high,7,6.288,20705,1942.11,53,True,True,True,3s,59,True
defnyddio,use,defnyddio,high,8,6.082,12890,1209.07,83,True,True,True,3s,51,True
meddwl,think,meddwl,high,9,6.058,12196,1143.97,90,True,True,True,3s,53,True
siarad,talk,siarad,high,10,5.953,9577,898.31,113,True,True,True,3s,63,True
edrych,look,edrych,high,11,5.943,9358,877.77,115,True,True,True,3s,54,True
gweithio,work,gweithio,high,12,5.904,8545,801.51,124,True,True,True,3s,51,True
codi,lift,codi,high,13,5.891,8286,777.22,128,True,True,True,3s,55,True
dysgu,teach,dysgu,high,14,5.876,8022,752.46,132,True,True,True,3s,56,True
gofyn,ask,gofyn,high,15,5.843,7429,696.83,145,True,True,True,3s,56,True
darllen,read,darllen,high,16,5.838,7344,688.86,149,True,True,True,3s,54,True
cofio,remember,cofio,high,17,5.834,7278,682.67,153,True,True,True,3s,52,True
dal,continue,dal,high,18,5.83,7215,676.76,157,True,True,True,3s,55,True
clywed,hear,clywed,high,19,5.812,6908,647.96,165,True,True,True,3s,56,True
cymryd,take,cymryd,high,20,5.805,6799,637.74,169,True,True,True,3s,55,True
digwydd,happen,digwydd,high,21,5.802,6753,633.43,171,True,True,True,3s,55,True
creu,create,creu,high,22,5.799,6718,630.14,174,True,True,True,3s,54,True
newid,change,newid,high,23,5.794,6632,622.08,181,True,True,True,3s,51,True
gadael,leave,gadael,high,24,5.793,6617,620.67,182,True,True,True,3s,54,True
